                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.68979,                 1.6737,                 1.1263,                 0.4517,                0.63401,                0.44364,                0.38437,                0.51266,                 1.9128,                  1.024,               0.008878,               0.008878,               0.008878
                     36,                0.68907,                 1.6559,                  1.127,                0.45039,                0.20804,                0.16104,                0.12874,                 1.1107,                  3.973,                 1.6696,               0.008845,               0.008845,               0.008845
                     37,                 0.6828,                 1.6761,                 1.1308,                0.51885,                 0.7027,                0.51978,                 0.4365,                0.58843,                 1.8151,                 1.0574,               0.008812,               0.008812,               0.008812
                     38,                0.69284,                 1.6619,                 1.1309,                0.46126,                 0.6216,                0.41039,                 0.3362,                0.62382,                 1.9089,                  1.129,               0.008779,               0.008779,               0.008779
                     39,                0.71438,                 1.6674,                 1.1442,                0.50495,                0.55893,                0.39422,                0.33025,                0.53582,                 2.2797,                 1.0669,               0.008746,               0.008746,               0.008746
                     40,                0.70187,                 1.6622,                 1.1218,                0.57843,                0.61759,                0.53458,                0.44485,                0.66231,                   1.78,                 1.2002,               0.008713,               0.008713,               0.008713
                     41,                0.66964,                 1.6112,                 1.1029,                0.48304,                0.42265,                0.38005,                0.29213,                0.69079,                 2.5475,                 1.2824,                0.00868,                0.00868,                0.00868
                     42,                0.69123,                 1.6109,                 1.1339,                0.59342,                0.62213,                0.53079,                 0.4751,                0.50107,                 1.5605,                 1.0196,               0.008647,               0.008647,               0.008647
                     43,                0.70979,                 1.6573,                  1.141,                0.49492,                0.59882,                0.43404,                0.37224,                0.53706,                 1.9481,                 1.0182,               0.008614,               0.008614,               0.008614
                     44,                0.66968,                 1.6407,                 1.1053,                0.57123,                0.75502,                0.50179,                 0.4428,                0.47893,                 1.6034,                 1.0313,               0.008581,               0.008581,               0.008581
                     45,                0.66378,                 1.6265,                  1.103,                0.00041,                0.00877,                0.00024,                  6e-05,                 3.3532,                 21.389,                 3.8954,               0.008548,               0.008548,               0.008548
                     46,                0.65426,                 1.5854,                 1.0985,                0.51515,                0.69664,                 0.5275,                0.47411,                0.46433,                 1.4013,                0.97351,               0.008515,               0.008515,               0.008515
                     47,                0.67714,                 1.6488,                  1.123,                0.46105,                0.71144,                0.42522,                0.37304,                0.44856,                 1.7057,                0.98281,               0.008482,               0.008482,               0.008482
                     48,                0.67852,                 1.5987,                 1.1108,                0.53306,                0.70761,                0.52344,                0.46215,                0.44238,                 1.4543,                0.96248,               0.008449,               0.008449,               0.008449
                     49,                0.66969,                 1.5635,                 1.1041,                0.02706,                0.75835,                0.06299,                0.04102,                 1.3392,                 3.9368,                 1.8323,               0.008416,               0.008416,               0.008416
                     50,                0.63447,                 1.5489,                 1.0923,                0.54584,                0.59236,                0.43877,                0.39204,                0.45966,                 1.6745,                 1.0124,               0.008383,               0.008383,               0.008383
                     51,                0.65986,                 1.5881,                 1.1095,                 0.4552,                0.59128,                0.38562,                0.32796,                0.59146,                 1.8722,                 1.0951,                0.00835,                0.00835,                0.00835
                     52,                 0.6713,                 1.5583,                 1.0999,                0.55562,                0.77868,                0.47627,                0.41882,                0.46624,                 1.7048,                 0.9856,               0.008317,               0.008317,               0.008317
                     53,                0.67258,                 1.5486,                 1.1204,                0.60669,                0.47386,                0.49139,                0.41784,                0.48459,                 1.6662,                 1.0485,               0.008284,               0.008284,               0.008284
                     54,                 0.6504,                 1.5413,                 1.0989,                0.81721,                0.35908,                0.49719,                0.44838,                0.44029,                 1.8038,                0.97905,               0.008251,               0.008251,               0.008251
                     55,                0.63284,                 1.5551,                 1.0782,                 0.5606,                0.71845,                0.50162,                0.43219,                 0.4874,                 1.6702,                 1.0259,               0.008218,               0.008218,               0.008218
                     56,                0.63529,                 1.5383,                  1.096,                 0.3352,                0.56421,                0.41786,                0.35028,                0.49385,                 2.1143,                 1.0162,               0.008185,               0.008185,               0.008185
                     57,                 0.6497,                  1.536,                 1.1136,                0.29126,                0.60539,                0.53846,                0.46841,                0.46872,                 1.5828,                 1.0107,               0.008152,               0.008152,               0.008152
                     58,                0.64365,                  1.568,                 1.1015,                0.55726,                 0.6608,                  0.541,                0.48369,                0.46626,                 1.5826,                 1.0029,               0.008119,               0.008119,               0.008119
                     59,                0.63346,                 1.5074,                 1.0834,                0.43967,                 0.6216,                0.51767,                 0.4445,                 0.5092,                 1.9944,                 1.0373,               0.008086,               0.008086,               0.008086
                     60,                0.64651,                 1.5058,                 1.0925,                0.58396,                0.72513,                0.56907,                0.49037,                0.52579,                 1.6404,                 1.0384,               0.008053,               0.008053,               0.008053
                     61,                0.65342,                 1.5806,                 1.1083,                0.44434,                0.75516,                0.55194,                0.47459,                0.49407,                 1.4898,                 1.0219,                0.00802,                0.00802,                0.00802
