                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.55058,                 1.2637,                0.96346,                 0.5681,                0.70344,                0.59838,                0.50054,                0.61621,                 1.2761,                 1.0783,               0.008878,               0.008878,               0.008878
                     36,                0.55821,                  1.267,                0.97374,                0.42941,                0.79494,                0.60779,                0.55853,                0.42598,                 1.1821,                0.89799,               0.008845,               0.008845,               0.008845
                     37,                0.55556,                  1.274,                0.96173,                0.54871,                0.83614,                0.61786,                0.54249,                0.49506,                 1.1711,                0.92861,               0.008812,               0.008812,               0.008812
                     38,                 0.5653,                 1.2836,                0.98089,                0.33832,                0.78959,                0.55301,                0.48628,                0.40198,                 1.8907,                0.87453,               0.008779,               0.008779,               0.008779
                     39,                0.54438,                 1.3087,                0.97239,                0.44797,                0.75241,                0.58293,                0.52289,                0.40599,                 1.3626,                0.88617,               0.008746,               0.008746,               0.008746
                     40,                0.56712,                 1.2906,                0.98989,                0.50232,                0.77857,                 0.5903,                0.53954,                 0.4211,                 1.1903,                 0.8689,               0.008713,               0.008713,               0.008713
                     41,                0.57819,                 1.2634,                0.98708,                0.45464,                0.69406,                 0.5503,                0.49142,                0.44608,                 1.6748,                0.89132,                0.00868,                0.00868,                0.00868
                     42,                0.55856,                 1.2875,                0.97754,                0.47989,                 0.8178,                0.62085,                0.56384,                0.43487,                 1.2146,                0.89103,               0.008647,               0.008647,               0.008647
                     43,                0.57065,                 1.2372,                0.98202,                 0.4076,                0.85316,                0.56914,                0.51897,                0.40109,                 1.7848,                0.86411,               0.008614,               0.008614,               0.008614
                     44,                0.56957,                 1.2613,                 0.9882,                0.36223,                0.84621,                0.53783,                0.48281,                0.44276,                 1.6705,                0.89776,               0.008581,               0.008581,               0.008581
                     45,                 0.5436,                 1.2476,                0.97814,                0.49877,                0.76662,                0.59904,                0.52794,                0.41509,                 1.2877,                0.87415,               0.008548,               0.008548,               0.008548
                     46,                0.53644,                 1.2283,                 0.9635,                0.32594,                0.67943,                0.48735,                0.44594,                0.44374,                 2.2149,                 0.8913,               0.008515,               0.008515,               0.008515
                     47,                0.54653,                 1.2312,                0.96854,                0.45708,                0.77106,                0.56248,                0.51054,                0.44754,                 1.9465,                0.90838,               0.008482,               0.008482,               0.008482
                     48,                0.55952,                 1.2047,                0.97882,                0.51124,                0.77902,                0.57449,                 0.5254,                0.39055,                 1.1762,                0.87607,               0.008449,               0.008449,               0.008449
                     49,                0.53742,                 1.2121,                0.97096,                0.54507,                0.80406,                0.61943,                0.57692,                0.37715,                 1.0874,                 0.8586,               0.008416,               0.008416,               0.008416
                     50,                0.57166,                 1.2482,                0.98294,                0.54823,                0.74451,                0.58712,                0.53993,                0.42808,                 1.2701,                 0.8953,               0.008383,               0.008383,               0.008383
                     51,                0.53993,                 1.1769,                0.96298,                0.48409,                0.75924,                0.56023,                0.48182,                0.49618,                 1.7432,                0.95876,                0.00835,                0.00835,                0.00835
                     52,                 0.5541,                  1.174,                0.97557,                0.48894,                0.80606,                0.63979,                0.57662,                0.43979,                 1.1384,                0.90158,               0.008317,               0.008317,               0.008317
                     53,                 0.5254,                 1.1739,                0.96464,                0.45571,                0.73743,                0.53466,                0.48132,                0.41275,                 1.5305,                0.88382,               0.008284,               0.008284,               0.008284
                     54,                0.53762,                 1.2192,                 0.9698,                0.38812,                0.80135,                0.55423,                0.48682,                0.46531,                 1.5057,                0.90179,               0.008251,               0.008251,               0.008251
                     55,                0.54975,                 1.1623,                0.98353,                0.49338,                0.78033,                0.61893,                0.56557,                0.40145,                 1.1194,                0.86862,               0.008218,               0.008218,               0.008218
                     56,                0.53355,                 1.1982,                0.96645,                0.38024,                0.84244,                0.54173,                0.50291,                0.38842,                 1.4488,                0.86449,               0.008185,               0.008185,               0.008185
                     57,                0.54644,                 1.1677,                0.97873,                0.43233,                0.76971,                0.58972,                0.53075,                0.41598,                 1.2701,                0.88311,               0.008152,               0.008152,               0.008152
                     58,                0.54912,                 1.1574,                0.97978,                0.39238,                0.77537,                0.56222,                0.49776,                 0.4273,                 1.3748,                0.88858,               0.008119,               0.008119,               0.008119
                     59,                0.52267,                 1.1347,                0.95482,                0.54235,                0.70453,                 0.5498,                0.48563,                0.48403,                 1.4809,                 0.9303,               0.008086,               0.008086,               0.008086
                     60,                 0.5221,                 1.1692,                0.96252,                0.49528,                 0.8194,                0.61921,                0.56792,                0.40955,                 1.2819,                0.86873,               0.008053,               0.008053,               0.008053
                     61,                 0.5375,                  1.152,                0.97333,                0.44136,                0.68844,                0.56451,                0.51074,                0.43479,                   1.28,                0.88262,                0.00802,                0.00802,                0.00802
                     62,                 0.5316,                 1.1141,                0.96243,                0.52758,                0.79159,                0.57042,                0.52707,                0.37086,                 1.2724,                 0.8495,               0.007987,               0.007987,               0.007987
                     63,                0.54848,                 1.1413,                 0.9752,                0.51788,                0.82087,                0.61612,                0.54544,                0.46206,                 1.3117,                0.94569,               0.007954,               0.007954,               0.007954
                     64,                0.54913,                  1.129,                0.97193,                0.47869,                0.81082,                0.59121,                0.53633,                0.40684,                 1.1517,                0.87423,               0.007921,               0.007921,               0.007921
                     65,                0.51918,                  1.118,                0.95735,                0.42783,                0.73513,                0.58526,                 0.5199,                0.43789,                 1.4291,                 0.9087,               0.007888,               0.007888,               0.007888
                     66,                0.51748,                 1.1151,                0.96155,                0.51155,                 0.7176,                0.57556,                0.53256,                0.38093,                 1.1946,                0.87315,               0.007855,               0.007855,               0.007855
                     67,                0.53373,                 1.1191,                0.96719,                0.50218,                0.84386,                0.58045,                0.51865,                0.41934,                 1.3224,                0.89709,               0.007822,               0.007822,               0.007822
                     68,                0.53436,                 1.1178,                0.96244,                0.52333,                0.69868,                0.67596,                0.62783,                0.36985,                 1.0963,                0.86448,               0.007789,               0.007789,               0.007789
                     69,                0.53503,                  1.114,                 0.9546,                0.48774,                0.83469,                0.62048,                 0.5731,                0.40325,                 1.0414,                0.87505,               0.007756,               0.007756,               0.007756
                     70,                0.54792,                 1.1342,                0.98009,                 0.4938,                0.78166,                0.64902,                0.59984,                0.39048,                 1.0394,                0.86419,               0.007723,               0.007723,               0.007723
                     71,                0.53903,                 1.1232,                0.96623,                0.53882,                0.81165,                0.62663,                0.58649,                0.36272,                 1.0725,                0.85248,                0.00769,                0.00769,                0.00769
                     72,                0.51442,                 1.1045,                0.95326,                0.49221,                 0.8309,                0.60945,                0.56086,                0.37892,                 1.0116,                0.86077,               0.007657,               0.007657,               0.007657
                     73,                 0.5325,                 1.0873,                0.96245,                0.49083,                0.92772,                0.67282,                0.61879,                0.40866,                 1.4899,                0.87159,               0.007624,               0.007624,               0.007624
                     74,                0.53074,                 1.1211,                0.97849,                0.48339,                0.76514,                 0.5699,                0.52773,                0.39518,                 1.3206,                 0.8618,               0.007591,               0.007591,               0.007591
                     75,                0.50833,                  1.092,                0.95323,                0.42281,                0.79538,                0.60943,                0.54966,                0.39532,                 1.1925,                0.88547,               0.007558,               0.007558,               0.007558
                     76,                0.52207,                 1.0708,                0.96003,                0.53912,                 0.8203,                0.60061,                0.55683,                0.39948,                 1.2548,                0.87707,               0.007525,               0.007525,               0.007525
                     77,                0.51786,                 1.0859,                0.96475,                0.50133,                0.82832,                 0.6201,                0.57375,                0.38348,                 1.3187,                0.86225,               0.007492,               0.007492,               0.007492
                     78,                0.51539,                   1.12,                0.96144,                0.54982,                0.83454,                0.65109,                0.61144,                 0.3517,                0.96905,                0.84129,               0.007459,               0.007459,               0.007459
                     79,                0.51745,                 1.0558,                 0.9654,                0.47431,                0.89355,                0.61641,                0.55595,                0.37651,                 1.2187,                0.85803,               0.007426,               0.007426,               0.007426
                     80,                0.53544,                  1.019,                0.96845,                0.50551,                0.77626,                0.64455,                0.59882,                0.39444,                 1.0888,                0.87565,               0.007393,               0.007393,               0.007393
                     81,                0.50723,                 1.0294,                0.94945,                0.48042,                0.76546,                0.61105,                0.56133,                0.38007,                 1.2402,                0.86372,                0.00736,                0.00736,                0.00736
                     82,                0.50283,                 1.0587,                0.95328,                0.48009,                0.85248,                0.59695,                 0.5377,                0.39592,                 1.4423,                0.87203,               0.007327,               0.007327,               0.007327
                     83,                0.51073,                 1.0479,                0.95923,                0.50579,                0.81053,                0.65182,                0.59361,                0.39619,                 1.1189,                0.87479,               0.007294,               0.007294,               0.007294
                     84,                0.49716,                 1.0442,                 0.9501,                0.69212,                0.67212,                0.69804,                0.64548,                0.36912,                0.97544,                0.86125,               0.007261,               0.007261,               0.007261
                     85,                0.48076,                 1.0152,                0.94519,                0.47914,                0.75253,                0.61107,                 0.5498,                0.37872,                 1.1607,                0.85711,               0.007228,               0.007228,               0.007228
                     86,                0.51346,                 1.0069,                0.95952,                0.52329,                0.79966,                0.66517,                0.60448,                0.37462,                 0.9958,                0.85378,               0.007195,               0.007195,               0.007195
                     87,                 0.5019,                 1.0671,                 0.9562,                0.56029,                0.81208,                0.66908,                0.62367,                 0.3645,                 1.1412,                0.85181,               0.007162,               0.007162,               0.007162
                     88,                0.51312,                 1.0485,                0.97033,                0.49916,                0.78358,                0.57697,                0.52335,                0.40086,                  1.635,                0.87273,               0.007129,               0.007129,               0.007129
                     89,                0.51518,                 1.0596,                0.96189,                 0.5876,                0.68007,                0.66676,                0.62271,                0.35625,                0.98768,                0.84889,               0.007096,               0.007096,               0.007096
                     90,                0.50604,                 1.0696,                0.96426,                0.46672,                0.74804,                0.63454,                0.58532,                0.38763,                 1.7055,                0.87886,               0.007063,               0.007063,               0.007063
                     91,                0.50603,                 1.0315,                0.95911,                0.50808,                0.80971,                 0.6747,                0.61949,                0.36806,                 1.0784,                0.85114,                0.00703,                0.00703,                0.00703
                     92,                0.52482,                 1.0608,                0.96037,                0.52864,                0.79889,                0.66801,                0.61705,                 0.3671,                 1.1457,                0.85615,               0.006997,               0.006997,               0.006997
                     93,                0.48583,                 0.9972,                 0.9414,                0.48023,                0.87494,                0.66312,                0.62181,                0.35431,                 1.1299,                0.84983,               0.006964,               0.006964,               0.006964
                     94,                 0.4902,                 1.0189,                0.94864,                0.50571,                0.80412,                0.63347,                0.58394,                0.36305,                  1.043,                0.86251,               0.006931,               0.006931,               0.006931
                     95,                0.50566,                 1.0123,                0.95977,                0.53119,                0.82874,                0.66218,                0.60961,                0.35801,                0.99909,                0.84596,               0.006898,               0.006898,               0.006898
                     96,                 0.5061,                0.99053,                0.96191,                0.55701,                 0.8654,                0.69389,                0.64308,                0.39941,                0.99589,                 0.8667,               0.006865,               0.006865,               0.006865
                     97,                0.49712,                 1.0084,                 0.9555,                0.46718,                0.88415,                0.64665,                0.59759,                0.37598,                 1.1321,                0.84844,               0.006832,               0.006832,               0.006832
                     98,                0.48801,                 1.0017,                 0.9489,                0.50277,                0.78829,                0.62481,                0.58848,                0.33585,                 1.1131,                0.83361,               0.006799,               0.006799,               0.006799
                     99,                0.47797,                0.98921,                 0.9495,                0.52744,                0.83768,                0.67607,                0.62766,                0.35748,                0.92792,                0.84534,               0.006766,               0.006766,               0.006766
                    100,                0.48689,                0.99603,                0.94631,                0.51724,                0.86401,                0.68343,                0.62635,                0.36055,                0.95017,                0.84892,               0.006733,               0.006733,               0.006733
                    101,                0.48404,                0.95875,                0.94557,                0.45197,                0.80451,                0.63834,                0.59711,                0.35927,                 1.1713,                0.85265,                 0.0067,                 0.0067,                 0.0067
                    102,                0.51914,                0.95874,                0.95742,                0.53634,                0.82462,                0.67605,                0.62079,                0.37522,                 1.0639,                0.85928,               0.006667,               0.006667,               0.006667
                    103,                0.50304,                 1.0014,                 0.9553,                0.52789,                0.81781,                0.67992,                0.63282,                0.35814,                 1.0021,                0.84409,               0.006634,               0.006634,               0.006634
                    104,                 0.5006,                 1.0194,                0.95063,                0.52421,                0.85992,                 0.6712,                0.61722,                0.34598,                 0.9619,                0.84105,               0.006601,               0.006601,               0.006601
                    105,                0.49906,                0.97058,                0.95633,                0.55039,                0.81143,                0.66249,                0.61478,                0.35967,                0.93155,                0.84462,               0.006568,               0.006568,               0.006568
                    106,                0.49277,                0.99732,                0.95075,                0.49099,                0.82775,                0.64379,                0.59644,                0.37334,                 1.1205,                 0.8568,               0.006535,               0.006535,               0.006535
                    107,                0.51398,                0.99762,                0.96671,                0.55449,                0.75439,                0.69005,                0.63929,                0.36193,                0.91227,                0.85575,               0.006502,               0.006502,               0.006502
                    108,                0.48285,                 0.9905,                0.95188,                0.44517,                0.87012,                0.62671,                0.58036,                0.35869,                 1.0151,                0.84713,               0.006469,               0.006469,               0.006469
                    109,                0.51201,                 1.0123,                0.96848,                0.51159,                0.77474,                0.65156,                0.59644,                0.36973,                 1.3062,                0.86443,               0.006436,               0.006436,               0.006436
                    110,                0.50698,                 1.0213,                0.95803,                0.50479,                0.85437,                0.65624,                0.60035,                   0.35,                 1.0438,                0.84984,               0.006403,               0.006403,               0.006403
                    111,                0.48388,                0.98412,                0.94485,                0.45508,                0.87853,                0.66796,                0.62181,                0.33626,                  1.037,                0.83708,                0.00637,                0.00637,                0.00637
                    112,                0.48272,                0.97423,                0.93897,                0.51019,                0.79632,                0.66817,                0.61931,                0.34132,                0.93641,                0.84451,               0.006337,               0.006337,               0.006337
                    113,                0.48929,                0.97866,                0.95323,                0.59965,                0.81812,                0.69541,                0.65668,                0.32954,                0.93886,                0.84154,               0.006304,               0.006304,               0.006304
                    114,                0.47811,                0.95001,                0.94365,                 0.5434,                0.81662,                0.69726,                0.64959,                0.34163,                0.96672,                 0.8407,               0.006271,               0.006271,               0.006271
                    115,                0.49266,                0.97665,                0.94916,                0.52182,                0.78839,                0.67479,                0.63397,                0.34542,                 0.8787,                0.84449,               0.006238,               0.006238,               0.006238
                    116,                0.49273,                0.98918,                 0.9533,                0.50115,                0.76858,                 0.6581,                0.61566,                0.34367,                 1.0567,                0.85119,               0.006205,               0.006205,               0.006205
                    117,                 0.4944,                0.95414,                0.96239,                0.51537,                0.80077,                0.68127,                0.63664,                0.36113,                 1.0061,                0.84357,               0.006172,               0.006172,               0.006172
                    118,                0.48088,                0.95725,                0.94848,                0.52857,                0.87802,                 0.6755,                0.63157,                0.33715,                0.93009,                0.84387,               0.006139,               0.006139,               0.006139
                    119,                0.48902,                0.97816,                0.94459,                0.54981,                 0.8073,                0.69729,                0.65488,                0.35113,                 1.0579,                0.84335,               0.006106,               0.006106,               0.006106
                    120,                 0.4843,                0.96385,                0.95633,                0.67582,                0.71068,                0.69637,                 0.6509,                0.33801,                0.92789,                0.84105,               0.006073,               0.006073,               0.006073
                    121,                0.49217,                0.95737,                0.95797,                0.55541,                0.80336,                0.66891,                0.62282,                0.34783,                0.97994,                 0.8482,                0.00604,                0.00604,                0.00604
                    122,                0.47122,                0.90734,                 0.9356,                0.54556,                0.87052,                0.66541,                0.61554,                0.35561,                0.99131,                 0.8513,               0.006007,               0.006007,               0.006007
