                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.87614,                 2.8434,                 1.1877,                0.00401,                0.32137,                 0.0057,                0.00192,                 2.5655,                    inf,                 5.8271,                 0.0705,              0.0032778,              0.0032778
                      1,                0.86731,                  2.074,                 1.1392,                0.00158,                0.39967,                0.00281,                0.00041,                   3.51,                    inf,                 23.061,               0.040478,              0.0065893,              0.0065893
                      2,                0.86152,                 1.9745,                 1.1278,                0.22454,                0.06222,                0.02878,                0.01642,                0.96234,                 19.027,                 1.3892,               0.010434,              0.0098788,              0.0098788
                      3,                0.81842,                 1.8369,                 1.0942,                0.14525,                0.13303,                0.05446,                0.02775,                 1.5646,                   5.24,                 1.7202,               0.009901,               0.009901,               0.009901
                      4,                0.79223,                 1.8206,                 1.0909,                0.36101,                0.34038,                0.20216,                 0.1737,                0.61935,                 2.5145,                 0.9978,               0.009901,               0.009901,               0.009901
                      5,                0.76561,                 1.7495,                 1.0778,                0.24911,                0.30281,                0.18687,                0.14892,                0.69368,                 3.4381,                 1.0792,               0.009868,               0.009868,               0.009868
                      6,                0.71276,                 1.7374,                 1.0641,                0.36668,                0.58157,                0.28234,                0.24112,                0.55548,                 2.2646,                0.97824,               0.009835,               0.009835,               0.009835
                      7,                0.72708,                 1.7041,                 1.0756,                0.16806,                0.56109,                0.26766,                0.20608,                0.65364,                 2.5073,                 1.0097,               0.009802,               0.009802,               0.009802
                      8,                0.68496,                 1.6096,                 1.0335,                0.38789,                0.68904,                0.43106,                0.36236,                0.56302,                 1.6063,                0.97962,               0.009769,               0.009769,               0.009769
                      9,                0.67079,                  1.601,                 1.0349,                0.21137,                0.61843,                  0.393,                0.34169,                0.55322,                 1.9567,                0.96555,               0.009736,               0.009736,               0.009736
                     10,                0.63749,                 1.5513,                  1.018,                0.29842,                0.59869,                0.43245,                 0.3725,                0.55893,                 1.7842,                0.96308,               0.009703,               0.009703,               0.009703
                     11,                0.65443,                 1.4792,                 1.0192,                0.57612,                0.59226,                0.49807,                0.43838,                0.50458,                 1.3463,                0.92895,                0.00967,                0.00967,                0.00967
                     12,                0.67633,                 1.5204,                 1.0447,                0.24034,                0.54917,                0.42481,                 0.3546,                0.59272,                 3.0745,                 1.0097,               0.009637,               0.009637,               0.009637
                     13,                 0.6479,                 1.5079,                0.99731,                0.36144,                0.77091,                0.52254,                0.45146,                0.52323,                  1.855,                0.94948,               0.009604,               0.009604,               0.009604
                     14,                 0.6238,                 1.4789,                 1.0093,                0.39629,                0.72152,                0.50617,                0.44154,                0.49873,                 1.5232,                0.94492,               0.009571,               0.009571,               0.009571
                     15,                0.61678,                 1.4472,                 1.0101,                0.47338,                0.56812,                 0.4452,                0.39067,                0.49199,                 1.6872,                0.93086,               0.009538,               0.009538,               0.009538
                     16,                0.64935,                 1.4289,                 1.0221,                0.35526,                0.76521,                0.52502,                0.45867,                0.50395,                   1.82,                0.94654,               0.009505,               0.009505,               0.009505
                     17,                0.63209,                 1.4119,                  1.024,                0.31809,                0.74521,                0.53886,                0.46987,                0.52852,                 1.3858,                0.97296,               0.009472,               0.009472,               0.009472
                     18,                0.61946,                 1.3929,                 1.0119,                0.43313,                0.73775,                0.55624,                0.50063,                0.46627,                 1.2528,                0.90981,               0.009439,               0.009439,               0.009439
                     19,                0.60294,                 1.4002,                 1.0195,                0.31871,                0.71411,                0.49773,                0.43648,                0.46675,                 1.8979,                0.91709,               0.009406,               0.009406,               0.009406
                     20,                0.60801,                 1.3807,                 1.0037,                0.28429,                0.63366,                0.40162,                0.35089,                0.49028,                 2.2434,                0.92277,               0.009373,               0.009373,               0.009373
                     21,                0.65671,                  1.431,                 1.0344,                0.37712,                0.79498,                 0.5329,                0.46567,                0.49442,                 1.4156,                0.93633,                0.00934,                0.00934,                0.00934
                     22,                0.62267,                 1.4089,                 1.0136,                0.35424,                 0.7071,                0.52342,                0.46284,                0.48727,                 1.4137,                0.93308,               0.009307,               0.009307,               0.009307
                     23,                0.61882,                 1.3819,                 1.0026,                0.38373,                0.43063,                0.35536,                0.28416,                0.76494,                 2.2094,                 1.1353,               0.009274,               0.009274,               0.009274
                     24,                0.60171,                 1.3881,                 1.0019,                0.34443,                0.77966,                0.53558,                0.45892,                0.53321,                   1.62,                0.95112,               0.009241,               0.009241,               0.009241
                     25,                 0.6049,                 1.3606,                 1.0086,                0.43735,                0.76196,                0.53548,                0.47536,                0.47289,                 1.3242,                 0.9335,               0.009208,               0.009208,               0.009208
                     26,                0.58593,                 1.3829,                0.98998,                0.38472,                0.76652,                0.50881,                0.44765,                0.45029,                 1.3873,                0.91283,               0.009175,               0.009175,               0.009175
                     27,                0.58275,                 1.3316,                0.99531,                0.39143,                0.75137,                0.52088,                0.46172,                0.45549,                 1.4506,                0.90375,               0.009142,               0.009142,               0.009142
                     28,                0.58412,                 1.3719,                0.98959,                0.38508,                0.70472,                0.47598,                 0.4232,                0.43543,                 1.3998,                 0.8956,               0.009109,               0.009109,               0.009109
                     29,                0.58094,                 1.3367,                0.99541,                0.33347,                0.65532,                0.45458,                0.41643,                0.45468,                 1.7058,                0.90784,               0.009076,               0.009076,               0.009076
                     30,                0.60606,                 1.3681,                 1.0228,                0.53391,                0.75131,                0.62501,                0.56775,                0.43091,                  1.181,                0.89453,               0.009043,               0.009043,               0.009043
                     31,                0.59584,                 1.3654,                0.99488,                0.57207,                0.53039,                0.49215,                0.42464,                0.47099,                 1.7328,                0.91924,                0.00901,                0.00901,                0.00901
                     32,                 0.6011,                 1.3486,                 1.0068,                0.46324,                0.66545,                0.50637,                0.45086,                0.44306,                 1.5016,                0.89224,               0.008977,               0.008977,               0.008977
                     33,                0.60554,                 1.3694,                 1.0078,                0.36659,                0.69305,                0.52759,                0.47086,                0.48226,                 1.3439,                0.90862,               0.008944,               0.008944,               0.008944
                     34,                0.59291,                 1.3329,                0.99646,                0.36146,                0.73998,                0.49718,                0.43115,                 0.4772,                    1.5,                0.93953,               0.008911,               0.008911,               0.008911
                     35,                0.57353,                 1.3424,                0.99396,                0.45464,                0.74312,                0.57676,                0.51463,                 0.4606,                 1.1381,                0.90477,               0.008878,               0.008878,               0.008878
                     36,                 0.5988,                  1.327,                 1.0034,                 0.4146,                0.71245,                 0.5291,                  0.471,                0.46681,                 1.5681,                  0.928,               0.008845,               0.008845,               0.008845
                     37,                0.61596,                 1.3686,                0.99961,                0.46577,                0.70782,                0.56343,                0.49744,                0.45248,                   1.32,                 0.9133,               0.008812,               0.008812,               0.008812
                     38,                0.57426,                 1.3178,                0.99733,                 0.4358,                0.79883,                0.58974,                0.53344,                0.44646,                 1.2167,                0.91363,               0.008779,               0.008779,               0.008779
